video_id,id1,id2,question1,question2,answer1,answer2,sim,isEqual
7010,170859,170863,what is the video doing?,what is a video doing?,regard,show,0.986233651638031,0
7010,170859,170868,what is the video doing?,what is video doing?,regard,show,0.986233651638031,0
7010,170860,170863,what is a clip doing?,what is a video doing?,show,show,0.9021430015563965,1
7010,170860,170868,what is a clip doing?,what is video doing?,show,show,0.9021430015563965,1
7010,170861,170865,what is a person doing?,what is doing?,explain,explain,0.9217576384544373,1
7010,170861,170866,what is a person doing?,what is person doing?,explain,show,1.0000001192092896,0
7010,170861,170867,what is a person doing?,what is someone doing?,explain,show,0.945542573928833,0
7010,170863,170868,what is a video doing?,what is video doing?,show,show,1.0000001192092896,1
7010,170865,170866,what is doing?,what is person doing?,explain,show,0.9217576384544373,0
7010,170865,170867,what is doing?,what is someone doing?,explain,show,0.9288830757141113,0
7010,170866,170867,what is person doing?,what is someone doing?,show,show,0.945542573928833,1
7010,170872,170873,what is someone showing in a computer?,who is showing something in a computer?,something,someone,0.9358229637145996,0
7011,170878,170885,what are some paint buckets doing?,what are animated buckets of paint doing?,teach,pose,0.908221960067749,0
7012,170896,170897,what is a man doing?,what is a man doing?,sit,wear,1.000000238418579,0
7012,170901,170902,what is a person in a brown blazer blue shirt and glasses doing?,what is a man with a blue shirt and glasses doing?,talk,talk,0.9324907064437866,1
7013,170915,170916,what is a man doing?,what is a man doing?,stand,write,1.000000238418579,0
7013,170915,170917,what is a man doing?,what is a man doing?,stand,teach,1.000000238418579,0
7013,170915,170925,what is a man doing?,what is a person doing?,stand,write,0.9182429313659668,0
7013,170915,170927,what is a man doing?,what is man doing?,stand,explain,1.000000238418579,0
7013,170916,170917,what is a man doing?,what is a man doing?,write,teach,1.000000238418579,0
7013,170916,170925,what is a man doing?,what is a person doing?,write,write,0.9182429313659668,1
7013,170916,170927,what is a man doing?,what is man doing?,write,explain,1.000000238418579,0
7013,170917,170925,what is a man doing?,what is a person doing?,teach,write,0.9182429313659668,0
7013,170917,170927,what is a man doing?,what is man doing?,teach,explain,1.000000238418579,0
7013,170925,170927,what is a person doing?,what is man doing?,write,explain,0.9182429313659668,0
7014,170946,170947,who are judges judging?,who are some judges judging on stage?,girl,girl,0.9019793272018433,1
7014,170949,170950,what is a girl doing?,what is a woman doing?,talk,talk,0.9354019165039062,1
7014,170949,170951,what is a girl doing?,what is a young girl doing?,talk,talk,0.9548113346099854,1
7014,170949,170953,what is a girl doing?,what is little girl doing?,talk,perform,0.9601478576660156,0
7014,170951,170953,what is a young girl doing?,what is little girl doing?,talk,perform,0.9235808253288269,0
7014,170952,170957,what are judges doing?,what are some judges doing?,judge,judge,0.9724175333976746,1
7015,170959,170963,who does a young man begin dancing to amuse sitting on the couch?,who begins dancing to amuse the young girl sitting on the couch?,girl,man,0.9532181620597839,0
7015,170960,170965,what are a man and a woman doing?,what is a woman doing?,talk,laugh,0.9127596020698547,0
7015,170965,170966,what is a woman doing?,what is a young man doing?,laugh,stand,0.9066287875175476,0
7015,170965,170970,what is a woman doing?,what is person doing?,laugh,talk,0.9072683453559875,0
7015,170965,170984,what is a woman doing?,what is a girl doing?,laugh,laugh,0.9354019165039062,1
7015,170969,170984,what is girl and guy doing?,what is a girl doing?,talk,laugh,0.9459023475646973,0
7016,170991,170993,what is girls doing?,what is a group of girls doing?,play,mix,0.9515450596809387,0
7016,170991,170996,what is girls doing?,what is kids doing?,play,color,0.9081704020500183,0
7016,170992,170994,what is a girl and someone doing?,what is a woman doing?,put,explain,0.9234557747840881,0
7016,170992,170995,what is a girl and someone doing?,what is a woman doing?,put,decorate,0.9234557747840881,0
7016,170992,170997,what is a girl and someone doing?,what is a woman doing?,put,help,0.9234557747840881,0
7016,170994,170995,what is a woman doing?,what is a woman doing?,explain,decorate,1.000000238418579,0
7016,170994,170997,what is a woman doing?,what is a woman doing?,explain,help,1.000000238418579,0
7016,170995,170997,what is a woman doing?,what is a woman doing?,decorate,help,1.000000238418579,0
7016,171010,171012,who teaches a girl how to paint eggs?,who does a woman teach how to paint eggs?,woman,girl,0.9151046872138977,0
7017,171013,171016,what is someone playing?,what is a person playing?,game,minecraft,0.9417859315872192,0
7017,171020,171024,who is talking about minecraft as he plays?,who is a person talking about as he plays?,person,minecraft,0.9691356420516968,0
7017,171030,171035,what is a guy doing?,what is someone doing?,show,play,0.9261146187782288,0
7017,171030,171038,what is a guy doing?,what is a man doing?,show,commentate,0.9144121408462524,0
7017,171030,171039,what is a guy doing?,what is a person doing?,show,play,0.9047377705574036,0
7017,171035,171038,what is someone doing?,what is a man doing?,play,commentate,0.9145108461380005,0
7017,171035,171039,what is someone doing?,what is a person doing?,play,play,0.945542573928833,1
7017,171037,171038,what is a man shows doing?,what is a man doing?,hammer,commentate,0.9389110803604126,0
7017,171038,171039,what is a man doing?,what is a person doing?,commentate,play,0.9182429313659668,0
7018,171057,171060,what is a man doing?,what is a peson doing?,show,change,0.901999294757843,0
7018,171057,171063,what is a man doing?,what is a person doing?,show,dance,0.9182429313659668,0
